x[i]        f(x[i])      L(x[i])        |f - L|        A
(0,785398163397448;0,674157836787621)
(0,863937979737193;0,737927567572675)
(0,942477796076938;0,79445444276716)
(1,02101761241668;0,843855740345551)
(1,09955742875643;0,886248738282333)
(1,17809724509617;0,921750714551981)
(1,25663706143592;0,950478947128976)
(1,33517687777566;0,972550713987796)
(1,41371669411541;0,988083293102921)
(1,49225651045515;0,997193962448829)
(1,5707963267949;1)
(1,64933614313464;0,996618683730912)
(1,72787595947439;0,987167291616046)
(1,80641577581413;0,971763101629879)
(1,88495559215388;0,950523391746891)
(1,96349540849362;0,923565439941561)
(2,04203522483337;0,891006524188368)
(2,12057504117311;0,852963922461791)
(2,19911485751286;0,809554912736309)
(2,2776546738526;0,760896772986402)
(2,35619449019234;0,707106781186548)
