x[i]        f(x[i])      L(x[i])        |f - L|        A
(0;-0,487177526207704)
(0,15707963267949;-0,177251356012355)
(0,314159265358979;0,0922392192697919)
(0,471238898038469;0,323023512933304)
(0,628318530717959;0,516830838272753)
(0,785398163397448;0,675390508582708)
(0,942477796076938;0,800431837157738)
(1,09955742875643;0,893684137292412)
(1,25663706143592;0,956876722281301)
(1,41371669411541;0,991738905418974)
(1,5707963267949;1)
(1,72787595947439;0,983389319318949)
(1,88495559215388;0,943636176670391)
(2,04203522483337;0,882469885348894)
(2,19911485751286;0,801619758649029)
(2,35619449019234;0,702815109865366)
(2,51327412287183;0,587785252292473)
(2,67035375555132;0,458259499224921)
(2,82743338823081;0,315967163957278)
(2,9845130209103;0,162637559784115)
(3,14159265358979;1,22460635382238E-16)
