x[i]        f(x[i])      L(x[i])        |f - L|        A
(-0,5;-311,50540365235)
(-0,45;-234,584415066213)
(-0,4;-172,985225258833)
(-0,35;-124,399149396483)
(-0,3;-86,7517324042488)
(-0,25;-58,1907250827756)
(-0,2;-37,0740602250083)
(-0,15;-21,957828732936)
(-0,1;-11,5842557343352)
(-0,05;-4,86967669951309)
(0;-0,892513558051143)
(0,05;1,11874918445161)
(0,1;1,79758832963519)
(0,15;1,65146586963529)
(0,2;1,07385287033988)
(0,25;0,356253354645845)
(0,3;-0,299771814284437)
(0,35;-0,770581049766433)
(0,4;-0,998428158336869)
(0,45;-0,9794384564971)
(0,5;-0,751584887456495)
